ID M_s SFR SSFR M halfmassrad halfmassrad_s Label
301914.0 6839170000.0 0.970747 1.4193929965185836e-10 59126200000.00001 7.3321 2.7035 1.0
600587.0 3069160000.0 0.288652 9.404918609652153e-11 169407000000.0 36.0073 1.3583 1.0
197485.0 3658830000.0 0.0352023 9.62119038053148e-12 105111000000.00002 22.4769 1.7863 0.0
292735.0 25894499999.999996 0.152857 5.903068219119891e-12 67057100000.0 3.341 2.1828 0.0
136430.0 57968900000.0 0.0 0.0 643942000000.0 36.8979 5.1539 0.0
69396.0 2400420000.0 0.0 0.0 33857300000.0 9.3228 3.2126 0.0
101350.0 6942239999.999999 0.630009 9.075010371292264e-11 93901200000.0 17.0239 1.5081 1.0
489791.0 6356240000.0 2.91841 4.5914093866814345e-10 460416000000.0 61.6468 4.0697 1.0
483126.0 18352000000.0 3.79667 2.068804489973845e-10 797450000000.0 73.6225 2.9352 1.0
235088.0 44570000000.0 2.5861 5.8023334081220557e-11 544180000000.0 31.4703 3.6002 1.0
573684.0 6639320000.0 0.537964 8.102697264177657e-11 251598000000.0 34.3839 1.7672 1.0
510595.0 8903580000.0 0.627486 7.047569629295183e-11 525782000000.0 63.1932 3.9221 1.0
396096.0 2640310000.0 1.01007 3.825573512201219e-10 51630400000.0 9.6171 3.4287 1.0
318838.0 21604199999.999996 0.0 0.0 603118000000.0 41.9398 1.7916 0.0
447737.0 3097630000.0 0.652271 2.105709849142732e-10 79797000000.0 14.8004 2.8194 1.0
520800.0 21360800000.000004 2.98629 1.3980234822665815e-10 485291000000.0 45.5492 3.7296 1.0
552402.0 5989210000.0 0.386139 6.447244294322623e-11 339734000000.0 50.0004 1.9496 1.0
215839.0 38438600000.0 0.0 0.0 557618000000.0 28.4179 3.0856 0.0
387251.0 40470200000.0 34.5189 8.529461183784612e-10 2727100000000.0 103.848 7.3744 1.0
95756.0 2391030000.0 0.0 0.0 8761270000.0 1.8825 1.6513 0.0
562993.0 4425810000.0 0.971761 2.1956681375838546e-10 278656000000.0 45.2204 1.9708 1.0
341446.0 59248500000.0 0.0204944 3.4590580352245204e-13 4343630000000.0 152.823 1.9787 0.0
554710.0 5728160000.0 0.9543 1.6659800005586437e-10 280468000000.0 43.3945 1.8942 1.0
388230.0 11341000000.000002 0.480894 4.240313905299356e-11 172456000000.0 19.5789 1.7844 1.0
550388.0 7635360000.0 0.386344 5.059931686259718e-11 327177000000.0 45.7421 2.0145 1.0
525528.0 2602930000.0 0.327362 1.2576673210574237e-10 80152100000.0 14.2766 2.3758 1.0
375646.0 3646460000.0000005 1.15114 3.156869950582208e-10 165653000000.0 31.677 1.8697 1.0
509743.0 14143900000.0 2.28635 1.6164919152426134e-10 561974000000.0 54.1664 3.4577 1.0
123897.0 547956999999.99994 0.817964 1.492752168509573e-12 62417600000000.0 371.82 27.3494 0.0
464843.0 2167890000.0 0.403346 1.8605464299387883e-10 54288200000.0 10.678 1.4169 1.0
120638.0 3223269999.9999995 0.0 0.0 53957000000.0 11.4079 2.5481 0.0
338332.0 104616000000.0 1.39804 1.3363539038005659e-11 4797760000000.0 145.341 5.9407 1.0
276191.0 7827840000.0 0.213539 2.7279428296950374e-11 88020099999.99998 11.3293 2.4889 1.0
133342.0 5205620000.0 0.0 0.0 13653800000.0 2.0536 1.6898 0.0
13623.0 4240050000.0 0.248003 5.849058383745474e-11 156187000000.0 30.3246 2.1664 1.0
311959.0 12379700000.0 0.0 0.0 90103300000.0 8.398 1.3684 0.0
185463.0 59702300000.0 0.00732957 1.2276863705418384e-13 460252000000.0 22.3028 4.4431 0.0
202805.0 22350400000.0 0.0 0.0 219960000000.0 16.4351 2.3969 0.0
335665.0 164151000000.0 6.35272 3.870046481593167e-11 5527990000000.0 116.402 12.3161 1.0
494084.0 18736300000.0 9.57421 5.109979024674029e-10 645478000000.0 56.9617 2.2115 1.0
577998.0 6020340000.0 0.790998 1.3138759604939256e-10 230142000000.0 34.1317 2.3586 1.0
517427.0 7633110000.0 1.86301 2.440695863154075e-10 462541000000.0 54.6019 3.7962 1.0
280267.0 50262800000.0 1.06517 2.119201477036695e-11 1102040000000.0 55.5163 8.1268 1.0
546958.0 12475000000.0 1.51193 1.2119679358717435e-10 364055000000.00006 38.3499 2.7125 1.0
637307.0 2543990000.0 0.192236 7.556476244010393e-11 107727000000.0 25.4401 2.242 1.0
407796.0 30223300000.0 0.0 0.0 661885999999.9999 46.5652 3.3379 0.0
152700.0 20123100000.0 1.04425 5.189309798192127e-11 153679000000.0 13.1145 3.995 1.0
231267.0 6127629999.999999 0.0 0.0 19978300000.0 2.9284 1.9587 0.0
536775.0 4383530000.0 1.4593 3.3290521565952555e-10 337077000000.0 52.4871 2.0197 1.0
529830.0 13175500000.0 1.50474 1.1420743045804713e-10 459046000000.0 43.5056 4.4013 1.0
111890.0 3061690000.0000005 0.0 0.0 26262500000.000004 7.2185 3.2322 0.0
398264.0 83854200000.0 0.0630718 7.521602972778942e-13 2380420000000.0 99.0566 6.9617 0.0
534133.0 9495900000.0 1.03751 1.0925873271622489e-10 407068000000.0 48.5325 2.5027 1.0
565609.0 8291660000.0 1.41382 1.7051109186821457e-10 284560000000.0 33.8015 3.0401 1.0
470420.0 13818400000.0 1.81781 1.3154996236901521e-10 915565000000.0 89.5332 2.6268 1.0
559402.0 6915920000.0 1.90262 2.7510728869044174e-10 304009000000.0 43.7207 1.5479 1.0
496990.0 11831900000.0 3.3662 2.845020664474852e-10 651152000000.0 57.4785 4.8531 1.0
419373.0 31074700000.0 1.4146 4.552256337148871e-11 1052790000000.0 71.5159 6.5429 1.0
358969.0 2555640000.0 0.0159447 6.239024275719585e-12 8912500000.0 2.4749 1.6324 0.0
454894.0 33464700000.0 0.00274287 8.19630834879739e-14 976802000000.0 73.8626 3.1969 0.0
620995.0 2389300000.0 0.160972 6.737203365002302e-11 139061000000.0 31.5196 2.2741 1.0
466224.0 24931700000.0 2.68164 1.0755945242402242e-10 908890000000.0 67.4051 3.6323 1.0
375286.0 39309100000.0 0.0 0.0 823456000000.0 45.8798 3.6734 0.0
290534.0 66449999999.99999 6.06614 9.12887885628292e-11 1292150000000.0 57.7798 5.0445 1.0
538486.0 10831300000.0 0.991904 9.157755763389437e-11 316013000000.0 45.1785 1.8662 1.0
549619.0 7612080000.0 2.19508 2.883679625017078e-10 313566000000.0 47.4679 1.6445 1.0
559144.0 5164460000.0 0.547054 1.0592666028974957e-10 301469000000.0 51.6459 1.3969 1.0
583810.0 2719850000.0 1.05345 3.8731915362979576e-10 201561999999.99997 33.7261 2.012 1.0
547484.0 5533760000.0 1.65186 2.9850589834036893e-10 354365000000.0 50.6608 1.5004 1.0
577577.0 4717380000.0 0.608723 1.2903836451589653e-10 207499000000.0 36.5795 3.4055 1.0
322178.0 7400210000.0 0.127094 1.7174377483882215e-11 90955300000.0 9.652 1.74 1.0
587208.0 4810280000.0 0.645079 1.3410425172755016e-10 196554000000.0 27.675 4.2767 1.0
537986.0 7551480000.0 1.78282 2.360888196750836e-10 398724000000.0 42.8808 4.5581 1.0
577617.0 3353130000.0000005 1.01751 3.034508056651546e-10 237348000000.0 39.9946 3.3237 1.0
569099.0 5533530000.0 1.47994 2.6744953040825656e-10 253384000000.0 38.8512 4.0528 1.0
578516.0 3834670000.0 0.550818 1.436415649847314e-10 171905000000.0 40.0205 3.8927 1.0
601031.0 3732050000.0 0.344778 9.238300665853887e-11 180931000000.0 30.0974 2.0224 1.0
511253.0 9555680000.0 1.81703 1.9015182592970882e-10 565874000000.0 47.5656 5.4949 1.0
472292.0 27682400000.0 7.52228 2.7173510967257174e-10 938240000000.0 67.3401 2.6318 1.0
499947.0 30565200000.0 0.0 0.0 850206000000.0 55.5641 3.5952 0.0
323765.0 2349140000.0 0.0 0.0 2354200000.0 0.1557 0.1554 0.0
603310.0 2638860000.0 0.431994 1.637047816102408e-10 162818000000.0 30.9105 3.686 1.0
410575.0 14798700000.0 0.147901 9.994188678735295e-12 44711400000.0 3.2865 1.8704 0.0
602977.0 2543869999.9999995 0.351298 1.3809589326498606e-10 155325000000.0 31.5139 1.994 1.0
47739.0 5899910000.0 0.0 0.0 85237800000.0 14.1844 1.8152 0.0
430921.0 5794049999.999999 2.9182 5.036546111959684e-10 44788700000.0 6.2775 1.7436 1.0
152729.0 2171670000.0 0.0 0.0 15528900000.000002 4.8687 1.5639 0.0
283111.0 3085370000.0 0.165785 5.373261553719651e-11 57691200000.0 11.9696 2.8482 1.0
279297.0 3237030000.0 0.0729875 2.254767487480808e-11 73049700000.0 15.1044 2.4175 1.0
120630.0 11440400000.0 0.0 0.0 27828300000.0 1.7642 0.9878 0.0
190800.0 2859990000.0 0.0 0.0 8775210000.0 3.0451 2.0649 0.0
462639.0 22745400000.0 0.0 0.0 738338000000.0 66.3078 1.7108 0.0
551267.0 9044450000.0 0.798428 8.827822587332564e-11 335889000000.0 34.1598 2.8358 1.0
652660.0 3400100000.0 0.0199481 5.866915678950619e-12 88856900000.0 20.3754 3.8694 0.0
47735.0 4484830000.0 0.0 0.0 113163000000.0 18.7029 2.5722 0.0
533765.0 12690500000.0 1.38641 1.0924786257436664e-10 435693000000.0 41.3901 3.998 1.0
213227.0 2427800000.0 0.240169 9.892454073646922e-11 29345500000.000004 5.9733 1.8928 1.0
434348.0 46494500000.0 2.28922 4.9236361290045055e-11 1479480000000.0 81.3509 5.8157 1.0
82057.0 47517500000.0 0.0 0.0 1244650000000.0 46.2122 4.5996 0.0
553693.0 9292280000.0 1.52913 1.645591824611398e-10 327468000000.0 43.8385 1.5307 1.0
146083.0 13045300000.0 1.14508 8.777720711673937e-11 183365000000.0 18.3468 2.6512 1.0
289169.0 6698040000.0 0.547149 8.168792661733881e-11 167061000000.0 24.8611 3.736 1.0
333834.0 8706870000.0 0.569595 6.541903117882775e-11 85374900000.0 9.8176 2.1647 1.0
602861.0 2914170000.0 0.25154 8.6316172357824e-11 167781999999.99997 31.6205 1.7787 1.0
531309.0 6248660000.0 1.76616 2.826461993451396e-10 387660000000.0 62.8602 3.4619 1.0
605512.0 2361590000.0 0.798545 3.381387116307233e-10 149871000000.0 33.8672 1.5577 1.0
575408.0 2417330000.0 0.261242 1.0807047444908225e-10 236905000000.0 45.4833 2.9803 1.0
47729.0 11409600000.0 0.2065 1.809879399803674e-11 103272000000.0 13.7001 3.2738 1.0
510516.0 15452100000.0 2.58655 1.673914872412164e-10 591690000000.0 55.6495 2.0713 1.0
529415.0 11100900000.0 1.85385 1.6699997297516418e-10 460173000000.0 50.3697 2.6329 1.0
491759.0 28990900000.0 0.0 0.0 869111000000.0 63.2872 1.7222 0.0
631440.0 2504610000.0 0.170202 6.79554900762993e-11 107592000000.0 28.1564 0.64 1.0
588147.0 4184089999.9999995 0.668976 1.5988566211529868e-10 204890000000.0 39.8722 1.483 1.0
566917.0 3164960000.0 1.04007 3.2862026692280474e-10 262048000000.0 44.9736 1.8059 1.0
